name,points,win_pct,playoff_success,canada,international,wText,wPhoto,wVideo,all_fol_fav,all_fol_rt,video_fol_fav,video_fol_rt,photo_fol_fav,photo_fol_rt,text_fol_fav,text_fol_rt,engage_fol_all
Atlanta Hawks,134.0494805,0.354,0,FALSE,FALSE,3.5,2.545454545,3.111111111,28.92410784,5.553971502,20.5383145,4.03579262,38.76677395,8.281758975,24.82445944,3.511214968,34.47807934
Boston Celtics,97.35604153,0.598,2,FALSE,FALSE,9,1.636363636,3.6,16.22598388,3.287256934,15.65822985,2.804552722,17.24920654,3.911848163,12.01764435,1.058765709,19.51324082
Brooklyn Nets,28.43520541,0.512,1,FALSE,FALSE,13,1.733333333,2.888888889,10.68407538,1.87552411,6.086770375,0.842249253,14.44848203,2.68998782,3.138897989,0.4167831355,12.55959949
Charlotte Hornets,69.54760594,0.476,0,FALSE,FALSE,8.333333333,1.923076923,2.777777778,13.50885151,2.569311791,6.580925927,0.9730897214,17.08151277,3.689868857,18.81109613,2.502230712,16.0781633
Chicago Bulls,71.5795849,0.268,0,FALSE,FALSE,6.6,1.5,5.5,11.39935608,2.596062374,20.72450208,4.556002695,10.78437699,2.52395632,2.915088888,0.5614006271,13.99541845
Cleveland Cavaliers,109.8191679,0.232,0,FALSE,FALSE,8.5,1.416666667,5.666666667,6.442000452,1.219397343,5.272257182,0.7743573234,7.335902008,1.500753326,2.833206018,0.1988214749,7.661397795
Dallas Mavericks,12.44676274,0.402,0,FALSE,FALSE,Inf,1.5,3,4.243791642,0.7592162165,2.852736016,0.5221187934,4.939319455,0.877764928,NaN,NaN,5.003007858
Denver Nuggets,12.96363842,0.659,2,FALSE,FALSE,3.285714286,1.769230769,7.666666667,16.41633676,2.256981596,24.57527879,3.13599698,15.83839515,2.476721153,13.99296745,1.472172969,18.67331835
Detroit Pistons,61.67355422,0.5,1,FALSE,TRUE,4.4,1.833333333,4.4,14.45881838,3.107649556,14.98890125,4.004184865,15.68549302,3.478899462,10.98471639,1.320114475,17.56646794
Golden State Warriors,53.68522087,0.695,4,FALSE,FALSE,Inf,1.6,2.666666667,5.754353624,0.8641524797,4.164903661,0.6080836102,6.708023601,1.017793801,NaN,NaN,6.618506104
Indiana Pacers,33.52144957,0.585,1,FALSE,TRUE,4.6,1.642857143,5.75,6.548930601,0.9873925217,10.90252812,1.414613741,5.067841818,0.7988246905,7.213101175,1.173605474,7.536323123
LA Clippers,35.15812883,0.585,1,TRUE,FALSE,Inf,1.625,2.6,6.379470068,1.168663305,6.418838467,1.243683506,6.354864819,1.12177568,NaN,NaN,7.548133374
Los Angeles Lakers,11.94124788,0.451,0,FALSE,FALSE,4,2,4,1.83028718,0.4242319436,0.8114624336,0.1577700868,2.583420933,0.6642274829,1.34284442,0.2107027218,2.254519124
Memphis Grizzlies,114.0335988,0.402,0,TRUE,FALSE,11.5,2.555555556,1.916666667,19.90915241,4.633168449,20.80288729,3.994798017,22.57045287,6.488974016,2.570891089,0.1122659864,24.54232086
Miami HEAT,61.29423901,0.476,0,FALSE,FALSE,17,2.428571429,1.888888889,5.136851455,1.230314008,5.253829544,1.529369581,5.018510653,0.9217672628,4.912434262,0.6986410603,6.367165462
New Orleans Pelicans,205.2359322,0.402,0,TRUE,FALSE,6.222222222,2.074074074,2.8,74.8065168,17.65350785,143.6056213,37.26239089,34.81253534,6.730336545,41.90156231,6.847726136,92.46002465
NEW YORK KNICKS,86.17852252,0.207,0,TRUE,FALSE,17,1.888888889,2.428571429,21.10750893,6.063999384,18.61333103,4.03591133,24.77873631,8.192740298,5.525707882,1.101947526,27.17150832
