type,timestamp,brand,total_public_interactions,favorite_count,hashtags,link_url,media_url,retweet_count,tags,text,tm_url,tweet_url,day_of_week,time
photo,2019-06-22T03:15:59+0000,New York Knicks,1076,954,NewYorkForever,,https://pbs.twimg.com/ext_tw_video_thumb/1142269888318361603/pu/img/GH4Dc2bHebDuK2nJ.jpg,122,,.@thegarden fam just got a whole lot bigger! So much love at the @nyrangers Draft Party for our new guys tonight [?] #NewYorkForever https://t.co/smU7qPyn6u,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MTItMTE2NDM4NTQ1X3R3ZWV0/,https://www.twitter.com/nyknicks/status/1142269978340495365,Saturday,3:15:59
photo,2019-06-22T02:55:26+0000,Atlanta Hawks,2898,2585,TrueToAtlanta,,https://pbs.twimg.com/media/D9ojxtyXYAAALoh.jpg,313,,.                BEST BREAKTHROUGH                  ATHLETE NOMINEE                  [?] @TheTraeYoung [?]                         #TrueToAtlanta https://t.co/RrtpY4UqZW,https://app.trackmaven.com/#/workspaces/2788/feed/content/NTkxNDMtMTE2NDM2NDg0X3R3ZWV0/,https://www.twitter.com/ATLHawks/status/1142264805027471360,Saturday,2:55:26
photo,2019-06-22T02:22:05+0000,Miami Heat,2463,2170,HEATCulture,,https://pbs.twimg.com/media/D9ocHgEW4AAGH3g.jpg,293,,The rook left with homework on the first day.  #HEATCulture https://t.co/D2OTzI1Bah,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDUtMTE2NDM1MDk1X3R3ZWV0/,https://www.twitter.com/MiamiHEAT/status/1142256414477475845,Saturday,2:22:05
"photo,link",2019-06-22T02:13:27+0000,New Orleans Pelicans,2376,2083,,https://t.co/S0yVSxYY82,https://pbs.twimg.com/media/D9oaLA0XYAAJvmh.jpg,293,,First Look: @Zionwilliamson Pelicans Photo shoot  https://t.co/S0yVSxYY82 https://t.co/IJ0yLlV8we,https://app.trackmaven.com/#/workspaces/2788/feed/content/NzE4MjItMTE2NDM3Nzc3X3R3ZWV0/,https://www.twitter.com/PelicansNBA/status/1142254239999307776,Saturday,2:13:27
link,2019-06-22T01:40:02+0000,Cleveland Cavaliers,264,245,,https://t.co/f1ar40nXVh,,19,,"""As the media gathered to meet the Wine &amp; Gold's newest Draft picks, Cleveland's coach had visions of this season's backcourt dancing in his head."" - @CavsJoeG   PAIR OF ACES | https://t.co/f1ar40nXVh",https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDMtMTE2NDM3OTU1X3R3ZWV0/,https://www.twitter.com/cavs/status/1142245829140520961,Saturday,1:40:02
photo,2019-06-22T01:37:00+0000,Detroit Pistons,178,158,,,https://pbs.twimg.com/media/D9oCi1NXoAAYi3S.jpg,20,,Senior Advisor Ed Stefanski introduced Sekou Doumbouya to the media today and details his reaction when he learned of the opportunity to take Sekou at 15.   This and more in The Front Office. https://t.co/QAxfTMkd32,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDktMTE2NDM2MzgxX3R3ZWV0/,https://www.twitter.com/DetroitPistons/status/1142245066020442112,Saturday,1:37:00
link,2019-06-22T01:34:45+0000,Denver Nuggets,236,224,,https://t.co/AFg84FdZ5r,,12,,Get familiar! https://t.co/AFg84FdZ5r,https://app.trackmaven.com/#/workspaces/2788/feed/content/NzE4MjMtMTE2NDM4MTU1X3R3ZWV0/,https://www.twitter.com/nuggets/status/1142244501139755008,Saturday,1:34:45
photo,2019-06-22T01:18:03+0000,Denver Nuggets,804,747,MileHighBasketball,,https://pbs.twimg.com/media/D9oNfe-UEAAJdp9.jpg,57,,Draft grades are in.   #MileHighBasketball https://t.co/gaBlUMibt8,https://app.trackmaven.com/#/workspaces/2788/feed/content/NzE4MjMtMTE2NDM4MTEzX3R3ZWV0/,https://www.twitter.com/nuggets/status/1142240296391995392,Saturday,1:18:03
photo,2019-06-22T01:14:53+0000,Charlotte Hornets,41,37,,,https://pbs.twimg.com/media/D9oMxKRWkAYLLC_.jpg,4,,Congratulations to our @AriaLV Vegas Flyway Sweepstakes winners!  https://t.co/e9cxD97fwG,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDctMTE2NDM3MTM2X3R3ZWV0/,https://www.twitter.com/hornets/status/1142239499298267136,Saturday,1:14:53
photo,2019-06-22T00:58:27+0000,San Antonio Spurs,674,577,HailState GoSpursGo,,https://pbs.twimg.com/media/D9oGFI2WkAMRWaA.jpg,97,,"#HailState [?] #GoSpursGo  We see you, @IAM_QUINN11  https://t.co/2M3RiHng27",https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MTQtMTE2NDMxOTkyX3R3ZWV0/,https://www.twitter.com/spurs/status/1142235367271292928,Saturday,0:58:27
